 1 -> 3 , weight = 5
 2 -> 3 , weight = 4
 2 -> 4 , weight = 4
 3 -> 5 , weight = 4
 3 -> 8 , weight = 5
 4 -> 9 , weight = 7
 5 -> 14 , weight = 6
 5 -> 15 , weight = 3
 6 -> 7 , weight = 5
 7 -> 9 , weight = 3
 8 -> 12 , weight = 5
 8 -> 15 , weight = 4
 9 -> 14 , weight = 3
 10 -> 15 , weight = 10
 12 -> 15 , weight = 6
 13 -> 14 , weight = 6
 13 -> 15 , weight = 7
 14 -> 17 , weight = 10
 14 -> 19 , weight = 10
 14 -> 20 , weight = 8
 14 -> 23 , weight = 6
 15 -> 20 , weight = 6
 15 -> 21 , weight = 4
 15 -> 23 , weight = 9
 16 -> 24 , weight = 9
 16 -> 27 , weight = 6
 16 -> 28 , weight = 10
 17 -> 21 , weight = 4
 17 -> 24 , weight = 8
 17 -> 25 , weight = 9
 17 -> 27 , weight = 10
 17 -> 28 , weight = 4
 17 -> 31 , weight = 8
 18 -> 24 , weight = 3
 18 -> 29 , weight = 8
 18 -> 30 , weight = 9
 19 -> 21 , weight = 3
 19 -> 25 , weight = 5
 19 -> 26 , weight = 7
 20 -> 16 , weight = 4
 20 -> 27 , weight = 9
 20 -> 28 , weight = 5
 20 -> 29 , weight = 3
 20 -> 31 , weight = 6
 21 -> 16 , weight = 1
 21 -> 18 , weight = 1
 21 -> 27 , weight = 9
 22 -> 26 , weight = 9
 23 -> 20 , weight = 2
 23 -> 26 , weight = 6
 23 -> 27 , weight = 3
 23 -> 29 , weight = 9
 24 -> 37 , weight = 9
 25 -> 27 , weight = 2
 25 -> 34 , weight = 8
 25 -> 38 , weight = 4
 26 -> 32 , weight = 10
 26 -> 35 , weight = 8
 26 -> 36 , weight = 3
 27 -> 37 , weight = 6
 27 -> 38 , weight = 5
 28 -> 27 , weight = 5
 28 -> 35 , weight = 7
 28 -> 38 , weight = 7
 28 -> 39 , weight = 5
 29 -> 26 , weight = 3
 29 -> 28 , weight = 1
 29 -> 32 , weight = 5
 29 -> 33 , weight = 7
 29 -> 34 , weight = 4
 29 -> 35 , weight = 3
 30 -> 34 , weight = 6
 30 -> 36 , weight = 5
 30 -> 37 , weight = 8
 31 -> 34 , weight = 5
 31 -> 35 , weight = 10
 31 -> 38 , weight = 9
 32 -> 40 , weight = 8
 33 -> 32 , weight = 4
 33 -> 40 , weight = 9
 33 -> 41 , weight = 9
 34 -> 39 , weight = 3
 34 -> 43 , weight = 3
 34 -> 44 , weight = 7
 35 -> 37 , weight = 2
 35 -> 40 , weight = 3
 35 -> 43 , weight = 5
 35 -> 44 , weight = 6
 36 -> 33 , weight = 1
 36 -> 35 , weight = 3
 36 -> 38 , weight = 3
 36 -> 43 , weight = 3
 37 -> 41 , weight = 7
 37 -> 43 , weight = 7
 38 -> 37 , weight = 4
 38 -> 41 , weight = 4
 38 -> 42 , weight = 10
 38 -> 43 , weight = 7
 38 -> 44 , weight = 4
 39 -> 36 , weight = 1
 39 -> 41 , weight = 10
 40 -> 46 , weight = 6
 41 -> 42 , weight = 3
 42 -> 40 , weight = 1
 42 -> 45 , weight = 9
 42 -> 47 , weight = 10
 43 -> 40 , weight = 4
 43 -> 46 , weight = 3
 44 -> 43 , weight = 5
